Nama,Alamat,Titik Koordinat
Danau Sentani,Jl. Ciumbuleuit No. 61,"-6.881543693576824, 107.60374076677013"
Matsuri Jiro,Jl. Dr. Setiabudi No. 24A,"-6.882933385373387, 107.60297030224464"
Gigglebox Karangsari,Jl. Karangsari No. 3,"-6.881279734925297, 107.5989625790629"
Senusa Resto,Jl. Karangsari No. 16,"-6.880482365786194, 107.5972794928823"
Flaming Pots Boil & Grill,Jl. Sukajadi No. 193,"-6.880748488518864, 107.5960656256633"
Pawon Pitoe Cafe Bungur,Jl. Bungur No. 1,"-6.883262916508339, 107.59500883532361"
Kopi In,Jl. Karang Tinggal No. 30,"-6.8848020570259845, 107.595877870841"
Hokben Setiabudi,Jl. Dr. Setiabudi No. 61,"-6.878815432954939, 107.59788860113771"
Hokben Dago,Jl. Ir. H. Juanda No. 179,"-6.885255745119882, 107.61346312025302"
Hokben Merdeka,Jl. Merdeka No. 47,"-6.90650582595495, 107.61001054277816"
Hokben Bec,Bec Jl. Purnawarman No. 7-11,"-6.907357919075243, 107.60936681763523"
Hokben Baltos,Balubur Town Square Jl. Tamansari No. 1,"-6.89789976095661, 107.60902339120885"
Sushi Den,Jl. Harianbanga No. 8,"-6.901478541972834, 107.60940965597408"
Hidden Ramen,Jl. Tamansari No. 11,"-6.900967317025768, 107.60816510380259"
Otw Sushi,Jl. Wastukencana No. 81,"-6.903769953430462, 107.6065135002645"
Kedai Timbel Dago,Jl. Ir. H. Juanda No. 117,"-6.891466524974013, 107.61294917919759"
Hokben Kebon Kawung,Jl. Kebon Kawung,"-6.9131180657822755, 107.60233568066164"
Hokben Paskal 160,Jl. Pasir Kaliki No. 160,"-6.901785510114607, 107.59765781369256"
Rm Saung Kabayan,Jl. Dr. Djunjunan No. 107,"-6.895075874399478, 107.58931252640143"
Warung Nasi Khas Sunda Asli Laksana,Jl. Prof. Dr. Sutami No. 67,"-6.8767126965243035, 107.59017075359873"
Restoran Simpang Raya,Jl. Dr. Djunjunan No. 182,"-6.892176146925739, 107.58545335065155"
Rm Ciganea Mang Idjot,Jl. Dr. Djunjunan No. 137,"-6.893684635998729, 107.58624465976244"
Burger King Buah Batu,Jl. Buah Batu No. 165 ,"-6.939271920314385, 107.62548674909036"
Aa Bistik Astanaanyar,Koenyah Foodcourt Jl. Kliningan No. 18,"-6.939293217499654, 107.62925256911981"
Hokben Buah Batu,Jl. Buah Batu No. 231,"-6.943238411325473, 107.62939743911251"
Nasi Goreng Bistik Sawah Kurung,Jl. Sawah Kurung Raya No. 11 B,"-6.933088737208876, 107.61141776359028"
Gokana Ramen Bar,Jl. Merdeka No. 21,"-6.909460239269856, 107.61035983550572"
Richeese Factory,Jl. Purnawarman No.11-13,"-6.90897894983858, 107.60899655579055"
Eatlah Teggxas,Jl. Pasir Kaliki No. 175,"-6.902103725346274, 107.5973202293556"
Petrichor Tea House & Coffee,Jl. Mahmud No. 20,"-6.900955403961107, 107.59525626953797"
Bebek Salero,Jl. Dewi Sartika No. 39,"-6.91655517698476, 107.60582970812393"
Mc Darmo La,Jl. Sumatera No. 37,"-6.904628360748639, 107.61372193395431"
Dua Coffee @ Bandung,Jl. Taman Cemp No.7,"-6.913142114497867, 107.62744210660205"
Roempi Coffee & Eatery,Jl. Anggrek No. 27,"-6.912795961961397, 107.62800000569561"
Kopi Pudak,Jl. Pudak,"-6.913468960518661, 107.62794166863046"
Cultivar Coffeehouse,Jl. Anggrek No. 34,"-6.913196034094624, 107.62808773351132"
Hagia Terra,Jl. Gandapura No. 51,"-6.913446328516736, 107.62619689120119"
Daily Routine Espresso Bar,Jl. Gandapura No. 34,"-6.914344325599273, 107.62631960225211"
Setangkai Kopi,Jl. Kemuning No. 8A,"-6.914603895969195, 107.62747295191569"
Shot Me In The Head,Jl. Kemuning No. 16,"-6.915254314961396, 107.62777179770401"
Smith Coffee,Jl. Kemuning No. 16,"-6.915264954075975, 107.62769557595352"
Bebek Garang,Jl. Braga No 34,"-6.917549846361443, 107.60991145555295"
Ayam Djogja Kejaksaan,Jl. Kejaksaan No. 5,"-6.918461843273877, 107.60952200461412"
Ayam Penyet Surabaya,Jl. Abc No.103,"-6.918878884182013, 107.60785125245222"
Canary Bakery And Cafe,Jl. Braga No 16,"-6.9194593486344615, 107.61001472289006"
Katsunyaka Braga Sarinah,Jl. Braga No. 10,"-6.920248830488042, 107.6096208393877"
Kopi Magma,Jl. Braga No. 3,"-6.920843936557203, 107.60974824432319"
Markopi Express,Jl. Dalem Kaum No. 93A,"-6.922675181058926, 107.60970935228237"
Wendy'S,Jl. Braga No. 99-101,"-6.917189414046695, 107.60920967584147"
Tutup Tiga Coffee,Jl. Kejaksaaan No. 3,"-6.918461262598027, 107.609936932664"
Fishstreat Bandung,Jl. Ciliwung No. 24,"-6.902236706802668, 107.6280689653953"
Crab Story,Jl. Mekar Laksana No. 16B,"-6.953213326633308, 107.60485610675453"
Aisberg Coffee,Jl. Mekar Sejahtera No. 18,"-6.952467830470711, 107.6058217005593"
168 Tattoo Studio And Coffee Shop,Komp. Mekar Wangi Jl. Mekar Laksana No. 21,"-6.953390899724269, 107.60551639028564"
Ramen Tenkei,Jl. Mekar Utama No. 89,"-6.9530501015472455, 107.60571487338794"
District Dago Cafe & Resto,Jl. Ir. H. Juanda No. 339,"-6.875147495511945, 107.61844582025391"
Delapan Padi,Jl. Dipati Ukur No. 8,"-6.897844597412902, 107.61399553557861"
Fat Box The Pop Up,Jl. Sukajadi No. 199,"-6.879631790960741, 107.59622006441951"
Tjarani Cafe Bandung,Jl. Bungur No. 25,"-6.880110391186111, 107.59422892207395"
Morning Glory At Rooftop Mitra Hotel Bandung,Jl. Supratman No. 98,"-6.901590999395536, 107.62722293558726"
Cremeria Di Dee Gelato Shop,Jl. Gn. Batu No. 2C,"-6.870152082808472, 107.60785899324074"
Foresta Coffee,Jl. Rancabentang No. 28,"-6.867446512103369, 107.60972580607793"
Ceritera Coffee - Brunch - Culture,Ciumbuleuit,"-6.872506124694099, 107.60920009842292"
Haloka,Jl. Veteran No. 7,"-6.918349661805569, 107.61448569324274"
Kopi Kyomi,Jl. Ir. H. Juanda No. 420,"-6.871477538789358, 107.62015716441864"
Choosy Coffee,Jl. Ir. H. Juanda No. 391,"-6.869357825331763, 107.62023226305381"
Kozi Coffee 2.0 X Budaraa,Jl. Bukit Dago Utara No 28,"-6.868825906223125, 107.61721551622327"
Lantai 3 Coffee & Pairing,Jl. Bukit Dago Selatan I No. 4,"-6.872138609426987, 107.61780561067533"
Ambigu Coffee,Jl. Cisitu Indah Vi No. 6,"-6.875591767688638, 107.61173039892425"
Sam'S Strawberry Corner,Jl. Ir. H. Juanda No. 315,"-6.876624974889648, 107.61716991560091"
Kabobs - Premium Kebab,Jl. Ir. H. Juanda No 310,"-6.878989640454821, 107.61664420246994"
Anjis Coffee,Jl. Cigadung Raya Barat No. 8B,"-6.871129283321818, 107.62273419324848"
Anjis Coffee,Jl. Gatot Subroto No. 178,"-6.929065314882159, 107.63841674908502"
Upper East ,Jl. Cigadung Raya Barat No. 92,"-6.864791679985494, 107.62641263558393"
Greens And Beans,Jl. Bahureksa No. 9,"-6.904871454163864, 107.61456425090624"
Pipe Dream Cafe,Jl. Ciumbuleuit No. 86,"-6.877350593114519, 107.60422770856957"
Secangkir Temu,Jl. Cikendi No. 10,"-6.875894008561468, 107.60180354314946"
Wild Grass,Jl. Gunung Kareumbi Jl. Ciumbuleuit No. 10,"-6.86919002686458, 107.60869924909252"
Warkop Modjok,Perumahan Pondok Hijau Indah Jl. Pinus Raya No. 73B,"-6.85450532244028, 107.58906537792328"
Larut Malam Kopi,Jl. Bojong Koneng No. 64,"-6.880313769733609, 107.64926724087944"
Little Wings,Jl. Cigadung Raya Barat No. 2,"-6.876276186033549, 107.62328879324785"
Lacamera Coffee,Jl. Naripan No. 99,"-6.920688960161203, 107.61718867973902"
Kopi Laka Laka,Jl. Burangrang No. 5,"-6.923231058586758, 107.62018063784016"
Belle Vue Roof Top 24 Hours French & Italian Bistro,Green Hill Universal Hotel Jl. Dr. Setiabudi No. 376,"-6.85035397686754, 107.59813575090833"
Manse Korean Grill Burangrang,Jl. Burangrang No. 35,"-6.926820250704806, 107.61963956070794"
The Gourmet Burger Club,Jl. Ranggamalela No. 8,"-6.901198973638702, 107.6110725490925"
Maison De A Sol Coffee And Culture,Jl. Cihampelas No. 36,"-6.903574903965601, 107.60457962800285"
Eiger Coffee Cihampelas,Jl. Cihampelas No. 22,"-6.905161909773046, 107.60456890059207"
Cafe More Wyata Guna,Jl. Pajajaran No. 50 ,"-6.906471981988614, 107.60082574423566"
Melk & The Mixtures,Jl. Pasir Kaliki No. 158A,"-6.903153522865199, 107.5975911318694"
Shabu Suki Bandung,Jl. Diponegoro No. 38,"-6.901174373629284, 107.6230409355853"
Dunkin Donuts (Dago),Jl. Ir. H. Juanda No. 51,"-6.901854748456557, 107.6114674932452"
Dunkin Donuts Pasirkaliki,Jl. Pasir Kaliki No. 159,"-6.902967295910963, 107.59738319324157"
Dunkin Donuts Leuwi Panjang,Jl. Leuwi Panjang No. 146,"-6.944985822834168, 107.59528827792074"
Dunkin Donuts Buah Batu,Jl. Buah Batu No. 237-239,"-6.944037771533203, 107.62998390675705"
Dunkin Donuts ( Gunung Batu),Jl. Gunung Batu No. 72,"-6.8919494403966235, 107.56257382026831"
Dunkin Donuts (Btc),Btc Fashion Mall Jl. Dr. Djunjunan No. 143-149,"-6.891251518019521, 107.58480917437744"
Dunkin Donuts (Setrasari),Setrasari Plaza Jl. Surya Sumantri,"-6.878980820583699, 107.58180511834271"
Dunkin Donuts,Pasar Baru Trade Center Jl. Otto Iskandar Dinata,"-6.915403809745984, 107.60410697529224"
Dunkin Donuts (Dulatip),Ruko Dulatip B1 Jl. Dulatip No. 22,"-6.914092900413546, 107.60228320856038"
Dunkin Donuts (Merdeka),Gedung Pant Karya Jl. Merdeka No. 39-41,"-6.906244654487209, 107.61063380858025"
Pillow Cake,Jl. Aceh No. 15,"-6.90854543126473, 107.6060847400925"
Dunkin Donuts (Dalem Kaum),Jl. Dalem Kaum No. 57,"-6.920336748250452, 107.60606505350138"
Dunkin Donuts (Antapani),Borma Pasar Swalayan Jl. Terusan Jakarta No. 53,"-6.91071599575681, 107.64890597825884"
Dunkin Donuts ,Jl. Pelajar Pejuang 45 No. 115,"-6.932249818078383, 107.62532532895096"
Dunkin Donuts,Jl. Ph. H. Mustofa No. 7,"-6.8954010916627455, 107.63533853919635"
Dunkin Donuts ,Jl. Dr. Setiabudi No. 103,"-6.869494823504512, 107.59375747534973"
Dunkin Donuts ,Jl. A.H. Nasution No. 117,"-6.911047423827693, 107.69645794075262"
Dunkin Donuts Cicaheum Kiaracondong,Jl. Jend. Ahmad Yani No. 830,"-6.899133010321069, 107.65606089320961"
Starbucks Experience Bar Buah Batu,Jl. Buah Batu No. 159,"-6.925540798054575, 107.62529156022485"
Starbucks Trans Studio Mall Bandung,Jl. Gatot Subroto No. 289,"-6.922993697442767, 107.63591707694812"
Starbucks 23 Paskal,Jl. Kebon Jati No. 196,"-6.908404152303752, 107.59433716029187"
Starbucks,Jl. Surya Sumantri No. 76C,"-6.867185729280863, 107.58056027631669"
Starbucks,Jl. Braga No. 2,"-6.916751427299409, 107.6089887019793"
Starbucks Graha Pos,Graha Pos Indonesia Jl. Banda No. 30,"-6.904317536809527, 107.61708353223179"
Starbucks Ciwalk,Cihampelas Walk Jl. Cihampelas No. 160,"-6.8897767934920955, 107.60513086054783"
Starbucks Pvj,Paris Van Java Unit 16B Jl. Sukajadi No. 131,"-6.883046194106224, 107.59547801479816"
Starbucks Bip,Jl.Merdeka No. 56,"-6.905509459729554, 107.61043242062598"
Starbucks Ppu,Jl. Pajajaran No. 156,"-6.89842051411939, 107.58009978033094"
Starbucks Festival Citylink,Festival Citylink Jl. Peta No. 69,"-6.92044272979907, 107.58569284266912"
Starbucks Miko Mall,Miko Mall Lt. Gf Jl. Raya Kopo No.632 Babakan Ciparay Kec. Babakan Ciparay Kota Bandung Jawa Barat 40225,"-6.959502279920769, 107.58045588158537"
Mcdonalds Summarecon Bandung,Jl. Magna Raya,"-6.942717388294184, 107.68914653464591"
Kfc Merdeka,Jl. Merdeka No. 35-44,"-6.907626279975137, 107.61043257892071"
Kfc Ahmad Yani,Jl. Jend. Ahmad Yani No. 310,"-6.908578501106831, 107.6351557825092"
Kfc Dago,Jl. Ir. H. Juanda No. 40-42,"-6.898763995870568, 107.61216269774918"
Kfc,Jl. Pasir Kaliki No. 121-123,"-6.903816600103911, 107.5974087504453"
Kfc,Jl. L. L. R. E. Martadinata No. 72,"-6.9019409224690165, 107.62075972151239"
Kfc Carrefour Kiara Condong,Carrefour Kiara Condong Lt. 1 Jl. Soekarno Hatta No. 526,"-6.932545507082655, 107.64178678480019"
Kfc Setiabudi,Jl. Dr. Setiabudi No. 169,"-6.8530216110221405, 107.5917424949891"
Kfc Pasar Baru,Jl. Otto Iskandar Dinata No. 81,"-6.91601106419479, 107.6046628848104"
Kfc ,Jl. Kepatihan No. 19A,"-6.9214638501965755, 107.60518042126486"
Kfc,Festival Citylink Foodcourt Jl. Peta No. 241,"-6.925057068276762, 107.58779546663384"
Mujigae,Jl. Peta No. 241,"-6.931338646375803, 107.59310376492816"
Kfc Bec,Jl. Purnawarman No.5-17,"-6.906420763819029, 107.6103210022234"
Kfc,Bandung Trade Mall Jl. Kiara Condong No. 47,"-6.903182866449528, 107.64341629070569"
Kfc Ujung Berung,Jl. A. H. Nasution No. 194,"-6.899375409613948, 107.70540105548493"
Kfc Cihampelas Walk,Cihampelas Walk Jl. Cihampelas No. 160,"-6.891808043142291, 107.60428765619614"
Kfc Pvj Mall,Paris Van Java Mall Jl. Sukajadi No. 137,"-6.884093017026643, 107.59685489892327"
Kfc,Jl. Suryamantri No. 62,"-6.885438951165866, 107.58119716125864"
Kfc Buah Batu,Blk. A-B Jl. Buah Batu No. 189,"-6.937597379415335, 107.62659384608808"
Kfc Metro Margahayu,Jl. Jatisari I No. 628,"-6.923270601291222, 107.66697968645686"
Kfc Metro Trade Center Bandung,Jl. Soekarno-Hatta No. 590,"-6.926196345793043, 107.6560131412681"
Kfc Miko Mall Kopo,Miko Mall Jl. Raya Kopo No. 599,"-6.946963099142253, 107.57803361871673"
Kfc Bandung Trade Center,Btc Fashion Mall Jl. Dr. Djunjunan No. 143-149,"-6.89308746996716, 107.5854967834341"
Kfc,Jl. Cibaduyut Raya No. 142,"-6.951149264121682, 107.59328786073465"
Kfc Gateway,Jl. Jenderal Ahmad Yani,"-6.8892737919581455, 107.64655298025832"
Kfc Coffee,Gegerkalong,"-6.870632419265937, 107.59800104908105"
Pizza Hut Delivery,Jl. Karawitan No. 59,"-6.932495095053314, 107.62929173008008"
Pizza Hut Delivery,Jl. Ir. H. Juanda No. 342,"-6.866185774543251, 107.61415302141688"
Pizza Hut Delivery,Jl. Kepatihan No. 11-17 King Plaza Bandung Lt. Gf Unit Gf-09A,"-6.908455715631967, 107.60454853040487"
Pizza Hut Delivery,Komp. Metro Bandung Jl. Venus Raya Margahayu Land No. 24,"-6.932363935372548, 107.66816927356716"
Pizza Hut Delivery,Jl. Purwakarta No. 68,"-6.906028421677335, 107.65345386565649"
Pizza Hut Delivery,Jl. Dr. Setiabudi No. 171,"-6.851194846396241, 107.59423407601538"
Pizza Hut Delivery,Ruko Setrasari Mall Jl. Prof. Dr. Sutami No. A7,"-6.873880374730214, 107.5818546750686"
Pizza Hut Delivery,Jl. Margacinta No. 424A,"-6.946597951387688, 107.64404188614965"
Pizza Hut Delivery,Jl. Mekar Pesona Jl. Indrayasa No. 132,"-6.945998852407321, 107.59577795646435"
Pizza Hut Delivery,Ruko Melong Nirwana Jl. Melong Asih No. 66B,"-6.908997415521387, 107.56465126997784"
Pizza Hut Delivery,Jl. A. H. Nasution No. 279,"-6.898455849333758, 107.70778591859818"
Pizza Hut Buah Batu,Jl. Buah Batu No. 137,"-6.928697860126709, 107.62181312062181"
Pizza Hut,Jl. L. L. R. E. Martadinata No. 126,"-6.900902768687838, 107.62687217813446"
Pizza Hut Dago,Jl. Ir. H. Juanda No. 48,"-6.891266017234893, 107.61070915770962"
Pizza Hut,Istana Plaza Jl. Pasir Kaliki No. 121-123,"-6.90224513198159, 107.59749172647268"
Pizza Hut,King Plaza 4-6 11-7 Jl. Kepatihan,"-6.917100586021007, 107.6038632264939"
Ibu Hj Cijantung,Jl. Lodaya No. 29,"-6.9234081658298186, 107.6190247697329"
Rm. Ibu Hj. Cijantung Metro Trade Center,Kw. Niaga Metro Trade Center. Jl. Soekarno Hatta No. 27,"-6.906122243572085, 107.6571884949521"
Sate Hadori,Jl. Lemahnendeut No. 8,"-6.882266639025992, 107.58031890718739"
Halo Hongkong Cafe By Tiny Dumpling,Jl. Prof Dr. Sutami. No. Kav 2,"-6.880541091859167, 107.57933185206768"
Domino'S Pizza,Jl. Surya Sumantri No. 97,"-6.879011492576142, 107.58080342318252"
Domino'S Pizza,Jl. Jend. Sudirman No. 588,"-6.913606867363374, 107.58166228835584"
Domino'S Pizza,Istana Plaza Pasir Kaliki No. 121 123 Gf,"-6.900995424570598, 107.59693954842646"
Domino'S Pizza,Jl. L. L. R. E. Martadinata No.55,"-6.902187826345481, 107.61496431559834"
Domino'S Pizza,Jl. Ir. H. Juanda No. 269,"-6.8761106407215635, 107.61548029194617"
Domino'S Pizza,Jl. Buah Batu No. 163,"-6.935610311571366, 107.62512790247473"
Domino'S Pizza,Jl. Raya Kopo No. 599,"-6.955288348323623, 107.5799262322895"
Domino'S Pizza,Jl. Terusan Jakarta No. 109C,
Domino'S Pizza,Venus Raya No. 11 Metro Soekarno Hatta Estate Sekejati,"-6.934920395030244, 107.66724680111807"
Jati Kopi,Jl. Talaga Bodas No. 44,"-6.926357284040551, 107.62211335046419"
Susu Bakar,Jl. Rajawali Barat No. 87,"-6.9104557418393915, 107.57489039721052"
Park Slope Pizzeria,Jl. Pendawa No. 30,"-6.909402987822077, 107.59479627078554"
Ayam Goreng Olie,Jl. Kesatriaan No. 8,"-6.911448623258544, 107.59739063905836"
Marble Hot Stone Grilled Steak,Paskal Hyper Square Ruko Blok C Jl. Arjuna No. 27,"-6.9144248722401604, 107.59666081261909"
Grillnesia,Ruko Paskal Hyper Square Jl. Pasir Kaliki No. 21,"-6.915260959399501, 107.59713515694037"
Holland Bakery - Gardujati,Jl. Gardujati No. 68,"-6.9173871174768715, 107.5984078651606"
Waroeng Djahe By Ronde Jahe Gardujati,Jl. Astana Anyar No. 25,"-6.921509601158255, 107.59858086753697"
Kobe Tepanyaki,Jl. Cibadak No. 101,"-6.921623429874017, 107.60038867646756"
Soto Ojolali,Jl. Cibadak No. 79,"-6.921733327992375, 107.60126063535064"
Lomie Lian Hoa,Jl. Astana Anyar No. 101,"-6.9250369483899785, 107.5994087691199"
Kong Djie Belitong Coffee,Jl. Astana Anyar No. 125,"-6.925713260488371, 107.5996287097481"
King Crab Bandung,Jl. Jend. Sudirman No. 107,"-6.920891864280256, 107.60041214538724"
Mie Gacoan Bandung,Jl. Dr. Setiabudi No. 191B,"-6.865932258414431, 107.59341354909199"
Oseng Mercon Gerlong,Jl. Gegerkalong Girang No. 27,"-6.864794839594308, 107.59293616088863"
Ramen Aa,Jl. Gegerkalong Girang No. 83,"-6.863365480420327, 107.58921191299486"
Nimna Bookcafe,Jl. Sukahaji No. 126,"-6.869843823157078, 107.58520469337319"
Arang 123,Jl. Sukahaji No. 123,"-6.869942333970721, 107.58477420363603"
Nyapii,Jl. Bengawan No. 56,"-6.908342277500365, 107.627265564413"
Saranghaeyo Shabu And Grill,Jl. Cendana No. 16,"-6.9082677169852635, 107.62912165373551"
Neiira Kitchen & Cofee,Jl. Bengawan No. 20,"-6.9100038222623015, 107.62917530615707"
Antico,Jl. Cilaki No. 9,"-6.906616820182893, 107.6286495808881"
Bakery Vitasari ,Jl. Sabang No. 26,"-6.907995069189582, 107.62264296462364"
Dino Donuts,Jl. Sabang No. 1A,"-6.908525619403307, 107.62103162759495"
Kue Balok Brownies Mahkota,Jl. Sabang No. 27,"-6.9075510580996875, 107.62077413402024"
Satu Pintu Coffee,Jl. Aceh No. 56,"-6.909330431260999, 107.61794976903744"
The Crabbys Bandung,Jl. Flores No. 5 Citarum,"-6.908302616151953, 107.61805705708265"
Wendy'S Cihampelas Walk,Cihampelas Walk Jl. Cihampelas No. 160,"-6.893248155581654, 107.60470066762892"
Wendy'S Braga,Jl. Braga No. 99-101,"-6.916309349724133, 107.60918537506744"
Baso Ceker Braga,Jl. Suniaraja No. 1,"-6.916336355119726, 107.6086097512543"
Railway Coffee,Selamet Ban Jl. Kb. Jukut No. 17,"-6.914270434638013, 107.60607227734472"
Kartika Sari Kebon Jukut,Jl. Kb. Jukut No. 3C,"-6.9143110407927475, 107.60532058830525"
Lontong Kari Kebon Karet,Jl. Otto Iskandar Dinata No. 28/5C,"-6.9139063112023535, 107.60488606908392"
Iga Anjay,Jl. Tubagus Ismail Raya No. 44,"-6.885020404982238, 107.6200774228939"
Mulya Cirebon Chinese Food,Jl. Tubagus Ismail Raya,"-6.883837761312695, 107.61473920675105"
Yagami Ramen House Dago,Jl. Ir. H. Juanda No. 185,"-6.884477186414593, 107.61354558296057"
Serbu Rame,Jl. Cisitu Lama,"-6.8831390917678155, 107.61130996095802"
Critoe Coffee,Jl. Gandapura No. 33,"-6.914743685696174, 107.62583770674891"
Ruang Kopi Tigadua,Jl. Nanas No.32,"-6.91200186252427, 107.63150884243522"
Kopi Kaluargi,Jl. Bengawan No. 11,"-6.9125623091479484, 107.63238541842064"
Tiramisusu By Chocomory,Jl. Anggrek No. 48,"-6.911727548262414, 107.62986414123446"
Slovin Nitro Bar And Cold Drip Coffee,Jl. Mangga Jl. Belimbing No. 26,"-6.912387901767118, 107.62999020576075"
Coffee Bawa,Jl. Anggrek No. 43,"-6.91167562505715, 107.62926667941207"
Iga Ws,Jl. Taman Pramuka No. 189A,"-6.910756321398657, 107.6274595407315"
Kopi Toko Djawa (Gandapura),Jl. Gandapura No. 61,"-6.912571628802234, 107.62636587019568"
Bakmi Apin,Jl. Gandapura No. 39,"-6.914498762537662, 107.62587636712283"
Shoot Me In The Head,Jl. Kemuning No. 16,"-6.915274273589999, 107.62776061895569"
Denhaag Klappeetaart,Jl. Kemuning No. 18,"-6.915468650354337, 107.627904117211"
Jenderal Kopi Nusantara Buwas,Jl. L. L. R. E. Martadinata No. 219,"-6.914287743433386, 107.62972265485622"
Sari Sari - Aneka Kue Jajan Pasar,Jl. Sultan Tirtayasa No. 17,"-6.9025424078108575, 107.6141873063098"
Kartika Sari Cake Shop,Jl. Ir. H. Juanda No. 85,"-6.897123634637388, 107.61243045396189"
Mangkok Manis,J. Cihampelas No. 95,"-6.89844304732358, 107.60378704294878"
Padang Style Restaurant Sederhana,Jl. Dr. Djunjunan No. 120,"-6.894562030222663, 107.58852346530232"
Goela Semoet,Jl. Sukamulya Indah 5 No. 7,"-6.886257972822582, 107.58759319979819"
Tambuhak Food & Beverage Garden,Jl. Surya Sumantri No. 100,"-6.883400049846544, 107.58161388543417"
Yellow Truck Coffee,Jl. Surya Sumantri No. 93,"-6.88277161560715, 107.58123837168627"
Morning Glory Coffee Bandung Setrasari,Setra Sari Mall Ruko Setrasari Mall Kav C2 No. 31,"-6.881301696985511, 107.58256874674719"
Diskus Cafe & Bites,Jl. Terusan Babaka Jeruk 1 No. 109A,"-6.88554099714835, 107.58253794191465"
Boyle'S Coffee,Komplek Surya Setra Blok C No. 2 Jl. Terusan Dr. Sutami,"-6.880014192141561, 107.57988988920079"
Kedai Waka Waka,Jl. Surya Sumantri No.5C,"-6.881090004424965, 107.58114610729903"
Pochajjang Setrasari,Setrasari Mall Jl Setraria,"-6.8809695086722416, 107.58150760114123"
Road Runner Burger,Jl. Surya Sumantri No. 10B,"-6.881903516294321, 107.58140970022177"
Bakmie Aloi,Jl. Surya Sumantri No. 11B,"-6.882037991950128, 107.5813835486793"
Makmur Jaya Coffee,Sukawarna Sukajadi,"-6.8823136003036005, 107.58115891367979"
Oldbike Coffee & Eatery,Oldbike Cofee Bandung,"-6.881528715176916, 107.58220095188166"
Rumah Makan Sedap Purwakarta,Jl. Prof Dr. Surya Sumantri Komplek Ruko Setrasari Blok D No.7-8,"-6.881538701000466, 107.58183818311272"
Ayam Bakar Taliwang,Jl. Prof Doktor Surya Sumantri No. 120,"-6.881149919429532, 107.58307937533378"
Seven Degrees,Setrasari Mall Blok B4-96,"-6.881054055445611, 107.58339520543883"
Nostimo - Coffee & Eatery,Setrasari Mal Jl. Terusan Sutami No. 98,"-6.881155910952126, 107.58344348524004"
Mixue,Jl. Surya Sumantri No. 72B,"-6.886196025568597, 107.58154566441179"
Titik Teduh,Jl. Sukamekar Iii No. 2,"-6.888247125006113, 107.58052289687873"
Shinta Satay Restaurant,Jl. Dr. Djunjunan No. 164,"-6.89354616689817, 107.58695617588414"
Kopi Molo Dr Rum Bandung,Jl. Dr. Rum No. 8,"-6.905054067473302, 107.59829373892903"
Rumah Makan Santung,Jl. Pajajaran No. 45,"-6.906925980029729, 107.59975017843469"
Yugen At 28,Jl. Moch Yunus No. 28,"-6.909058832692757, 107.59944185628352"
Martabak Mertua ,Jl. Pandawa Arjuna,"-6.909847000999823, 107.59723775187726"
Semar Pandawa Fried Chicken,Jl. Pendawa No. 5B,"-6.909963494947838, 107.59696885957794"
Kosarasa Kopi,Jl. Pandawa No. 168/66,"-6.909838346930289, 107.59682133788402"
Batagor Kingsley,Jl. Veteran No. 25,"-6.918878535284896, 107.61535603557884"
Takolada ,Jl. Guntur No. 21,"-6.926002164450217, 107.62113476656882"
The Harvest Cakes - Burangrang,Jl. Burangrang No. 31 C,"-6.925725237442997, 107.61979378956875"
Bakso Enggal Malang,Jl. Burangrang No. 12,"-6.924617579019709, 107.61969722595285"
Kopitera ,Jl. Burangrang No. 14,"-6.924862541780668, 107.61953026251288"
Bakmie Karet,Jl. Cibadak No. 293A,"-6.920191581858994, 107.59271554697702"
Bebek Granat,Jl. Palasari No. 45,"-6.93258878909518, 107.62218966441563"
"""Bebek Setan """" Mr. Ducklicious"""" Lodaya""",Jl. Lodaya No. 105,"-6.9319497539355375, 107.62514009691593"
Mergosari Restaurant,Jl. Pelajar Pejuang 45 No. 98,"-6.934836011058588, 107.6243783504805"
Mih Kocok Bandung Mang Dadang,Jl. K. H. Ahmad Dahlan No. 67,"-6.934067873147314, 107.62417584875283"
Kartika Sari ,Jl. Buah Batu No. 165A,"-6.939268219565952, 107.62573764417513"
Holland Bakery - Buah Batu,Jl. Buah Batu No. 171,"-6.940142125325726, 107.62632455204331"
Vitasari Bakery Buah Batu,Jl. Buah Batu No. 186,"-6.938947708626806, 107.6249325164489"
Coffee On,Jl. Terusan Buah Batu No 181,"-6.957729019627744, 107.63980104390215"
Rm Bakul Daun,Jl. Terusan Buah Batu No. 195,"-6.958495814080211, 107.63947918062537"
Kedai Abu Bakar,Jl. Parakan Asri I No. 9,"-6.950003857710568, 107.63067752971513"
Hepichick,Jl. Batununggal Indah Raya No. 63,"-6.95265703239702, 107.6248692048841"
Nasi Bakar Langganan Ibu Nur Batununggal,Jl. Batununggal Abadi I No. 3,"-6.955170433507567, 107.62862428031467"
Total Kedai Kopi,Jl. Marga Asri No. 7,"-6.9564057924542615, 107.65334353399896"
Rumah Kopi Coffee. Inc,Jl. Kencanawangi No. 15,"-6.959196049947794, 107.65439500622183"
Kedai Ingin Kopi Bandung,Jl. Cipagalo Girang No. 4,"-6.951375044201669, 107.64825270435244"
Sensei Ramen,Jl. Margacinta No. 120,"-6.95507057850233, 107.64884278576818"
