Nama,Alamat,Titik Koordinat
Masagi Koffee,Jl. Gunung Kareumbi No.1-B,"-6.868695426399598, 107.60643504549716"
Seimos,Jl. Moh Toha No.187,"-6.943986847157416, 107.6082012932533"
Cafe Woodcase Coffee Bar,Jl. Cijagra Raya No.68,"-6.9474126488975, 107.62580199140451"
Teh Manis Cafe,Jl. Gatot Subroto No.495,"-6.932371488876686, 107.64457102024008"
Co&B Cafe,Jl. Kuningan Raya No.35,"-6.915715132200969, 107.66125313558221"
Monomyth Board Game Cafe,Jl. Sukaraja No.17-18,"-6.890240219014126, 107.57244379140455"
Sans. Co Space,Jl. Ir. H. Juanda No.347,"-6.874410014244012, 107.61858022024008"
Rock Star Music Cafe,Jl. Soekarno Hatta,"-6.942645045868663, 107.6596627816087"
The Coffee Bean,Jl. Gatot Subroto No.289,"-6.925537884554203, 107.63658882024008"
Colibri Cafe & Bakery,Jl. Terusan Pasirkoja No.246,"-6.927883536532847, 107.58120097975991"
Coger Blazbluz,Jl. Babakan Sari 1 No.11,"-6.9215948352514145, 107.64496870859548"
Rumput Cafe,Jl. Sukahaji Baru No.1,"-6.8695746637775255, 107.58510223558223"
Yellow Truck Coffee,Jl. Patuha No.29,"-6.926126736532511, 107.62482736441777"
Transit Coffee,Jl. Melong Raya No.72,"-6.919122884663007, 107.56579507975994"
The Vallery Bistro Cafe,Jl. Lembah Pakar Timur No.28 Dago,"-6.863252864847971, 107.6340547490756"
Rumah Jingga Cafe & Resto,Jl. Cikadut No.15,"-6.902703327588409, 107.66558504907562"
The People'S Cafe Paris Van Java,Jl. Sukajadi No.137-139,"-6.888973126601332, 107.5960633932533"
Coffee Toffee Bandung Siliwiangi,Jl. Siliwangi No.14,"-6.883832741825505, 107.60612822468245"
Melanger Les Space,Jl. H. Wasid No. 5,"-6.897478764489718, 107.6153036067467"
Brewspace Coffee & Creative Space,Jl. Prabu Dimuntur No.22,"-6.8991496101778225, 107.61543698478819"
Otillie Coffee & Kitchen,Jl. Hasanudin No.7,"-6.894508067475384, 107.61576712208884"
Add+ Coffee,Jl. Dipati Ukur No.40,"-6.8959776683343685, 107.61668873743102"
Pecah Kopi,Jl. Cigadung Raya Timur No.5 ,"-6.887056187347384, 107.62942618021188"
372 Kopi Setiabudhi,Jl. Karangsari No.21 ,"-6.880883662628566, 107.5970168490756"
Saklar Ruang Kolaborasi,Jl. Supratman,"-6.902681274383469, 107.62744993558222"
Roemah Nenek,Jl. Tm. Cibeunying Selatan No.47,"-6.904233822134606, 107.6235419067467"
Black Butler Cafe,Jl. Supratman No.37,"-6.904894673550331, 107.62871886441775"
B Coffee & Burgers,Jl. Saninten No.65,"-6.905541028929808, 107.62727782024005"
Koffie Lucky,Jl. Ciliwung No.17A,"-6.904952728651672, 107.62640907791115"
Musat,Jl. Cilaki No.45,"-6.9046958815908726, 107.62620950674668"
Len Urban,Jl. Cikutra No 189,"-6.894962975171214, 107.6425706067467"
Classic Cafe & Resto,Jl. Naripan No.48,"-6.920424983979524, 107.61427967975992"
Brussels Spring,Jl. Veteran No.5,"-6.918304784257013, 107.61405854907562"
172 Eatery ,Jl. Asia Afrika No. 172,"-6.922204540573334, 107.6162367067472"
Biscoe - Business Coffee & Eatery,Jl. Patuha No.16,"-6.925550085658382, 107.62467892208883"
Eititu Resto & Cafe,Jl. Ganesa No.10,"-6.890893668022113, 107.61084957791114"
Didago Cafe,Jl. Ir. H. Juanda No.21,"-6.9046240325802835, 107.61036045838523"
Cafe 67,Jl. Dalem Kaum No.67,"-6.922378440632191, 107.60860927791114"
B10 Cafe Braga,Jl. Braga No.10,"-6.920193533184448, 107.6101203797599"
Kopi Soe Antapani,Jl. Purwakarta No.97,"-6.916839628313981, 107.65649577791116"
Kopi Ruang Hati,Jl. Purwakarta No. 176,"-6.917292185226619, 107.65855777791116"
Kanoko,Jl. Dago Asri 1 No. 24,"-6.875477267225607, 107.61581808307864"
K-Wot Cafe,Jl. Sukaaman I No.15-21,"-6.908983879634827, 107.63927146441777"
Volks Eetcafe,Jl. Halimun No.36,"-6.926605237852908, 107.62329270674667"
Lo.Ka.Si Coffee & Space,Jl. Ir. H. Juanda No.92,"-6.895691065326329, 107.61309631158248"
Aditi Coffee House And Space,Jl. K. H. Ahmad Dahlan No. 5,"-6.931063801000579, 107.61833868919607"
Kinokimi Coffee,Jl. Buah Batu No. 28,"-6.93139928943195, 107.61738918715874"
Bodas Coffee,Jl. Talaga Bodas No. 64,"-6.928745995387488, 107.6239264011365"
Cupola Id,Jl. Lapang Supratman No.4,"-6.908182945144, 107.6296556291853"
Upnormal Coffee Roaster,Jl. L. L. R. E. Martadinata No.158,"-6.913694777785441, 107.62910309415687"
150 Coffee And Garden,Jl. Sulaksana No. 50,"-6.90838575782863, 107.64963049991931"
Jadid Coffee,Jl. Terusan Jakarta Kav 44 No.368,"-6.916782688950611, 107.66912162301499"
Cafe 25 Coffee & Kitchen,Jl. Arcamanik Endah No.25,"-6.913953574340478, 107.67724335194076"
Armenti Coffee House,Jl. Reog No. 6A,"-6.935913495535798, 107.63225747976239"
Bagi Kopi,Jl. Reog No.10,"-6.93633240632833, 107.63210915029047"
Tridi Coffee & Eatery,Jl. R. A. A. Marta Negara No.40,"-6.933648520238239, 107.63013035057729"
Kopitera,Jl. Karawitan No.85,"-6.93935974758402, 107.63131655751441"
Kopi Janji Jiwa Kliningan,Jl Kliningan No 201F,"-6.941833925615529, 107.62814350424925"
Warugo Cafe,Jl. Cijagra No.14,"-6.9433685484713985, 107.62694220988732"
Monelab Coffee,Jl. Buah Batu No.235,"-6.943757278864301, 107.62958686794046"
Makou Koffee,Jl. Situ Patenggang No.6A,"-6.944634916413516, 107.62933574615728"
Siklus Kopi,Jl. Terusan Buah Batu No.11B,"-6.950109048006223, 107.63604126871375"
Starbucks Marthadinata Bandung,Jl. L. L. R. E. Marthadinata No.217,"-6.913833075407714, 107.62957142367267"
Don'T Tell Mama,Jl. Gandapura No.61,"-6.912363937223382, 107.62633234261264"
Serantau Coffee X Space,Jl. Nanas No.13,"-6.912960384600244, 107.6320937275702"
Um. Coffee And Social,Jl. Laswi No.59,"-6.921761063310169, 107.63076729812637"
Starbucks Setiabudhi,Jl. Dr. Setiabudi No.268,"-6.861051185961551, 107.59543908650801"
Starbucks Ciumbuleuit,Jl. Ciumbuleuit No.115,"-6.873053306685153, 107.60501797790977"
Ping - Urban Coffee House & Eatery,Jl. Bukit Indah 1 No.6,"-6.873889386732767, 107.60361939667493"
Secangkir Temu,Jl. Cikendi No.10,"-6.875945163636614, 107.60182768106297"
Kurokoffee,Jl. Ciumbuleuit No.130,"-6.870874941234206, 107.60574370622726"
The Potting Shed,Jl. Panumbang Jaya No. 5,"-6.866683557111601, 107.60334379969797"
Bahagia Kopi ,Jl. Banda No. 08,"-6.910206860114009, 107.6178297058179"
Work Coffee Indonesia,Jl. Sumbawa No.28,"-6.912224144765726, 107.61679373671058"
Jurnal Risa Coffee Braga,Jl. Braga No. 45,"-6.91844020943514, 107.60945118953494"
Maxx Coffee,Jl. Kebon Kawung No.1,"-6.913639427854986, 107.60206327975995"
Maxx Coffee,Citarum Bandung Wetan,"-6.908484630321832, 107.61087750674672"
Kopi Rustic,Jl. Cikapundung Barat No.8 ,"-6.919327532696015, 107.60824014907561"
Excelso Coffee,Jl. Sukajadi No. 228,"-6.879244106973801, 107.59657174907562"
Excelso Coffee Mayfair,Gedung Mayfair Jl. Sukajadi No.228,"-6.879229671290692, 107.59661782208885"
Kilogram,Jl. Karang Tinggal No.24,"-6.8851306195621, 107.59557712489537"
Teabumi Tea House,Jl. Pajajaran No 72,"-6.906157863303528, 107.59588769708972"
Teman Lama Coffee Shop,Jl. Bima No.80,"-6.909052841892806, 107.59223527633787"
Toby'S Estate,23 Paskal Jl. Pasir Kaliki No.11,"-6.915148461238966, 107.59513489902598"
Eight Fully Cafe,Jl. Pagarsih No. 120,"-6.922231848886197, 107.59297035635096"
Level Six Cafe & Bar,Lenora Hotel Jl. Raya Kopo No.20,"-6.927322156825618, 107.59786807001198"
Si Janda Ngamuk Cafe,Jl. Terusan Pasirkoja No. 58,"-6.926004819420719, 107.5950497388898"
Sofa Cake Coffee & Resto,Jl. Terusan Pasirkoja No. 109A,"-6.925689686831475, 107.59273566441804"
Corner Coffee Roastery,Jl. Pasirluyu Iv No.1,"-6.940217091375333, 107.62092031538901"
Ngopi Doeloe,Jl. Pelajar Pejuang 45 No.21,"-6.9263959850967485, 107.62743550859848"
Ngopi Doeloe,Jl. Burangrang No. 27,"-6.925165688779973, 107.61991300674588"
Rockepo Coffee & Eatery,Lateza Jl. Karapitan No. 86D,"-6.9284244838279925, 107.61638335884189"
Monday Coffee. Co,Jl. Gudang Selatan No.22,"-6.916010124721382, 107.62108890674588"
Tearis Tea Bar,Jl. Sekar Tonggeret No.19 ,"-6.936909742624575, 107.62445026256543"
Djaya Coffee Kebon Jati,Jl. Kebon Jati No. 71,"-6.91625414008206, 107.59887117790979"
Double Eight Coffee,Jl. Dipati Ukur No.88,"-6.888122823490257, 107.61564103558194"
Gehenna Coffee,Jl. Tamansari No. 88,"-6.88556871370297, 107.61184890859846"
Cikopi Di Cisitu,Jl. Cisitu Baru No.23,"-6.883921978354116, 107.61233255267699"
Bijikopling,Jl. Sangkuriang No.16,"-6.882609180144431, 107.60962486267675"
Koma Fine Coffee,Jl. Siliwangi No.8 ,"-6.884611661967999, 107.61244654655748"
Parc C Coffee & Eatery,Jl. Kidang Pananjung No.5C,"-6.88207926665532, 107.61375680566397"
Noah'S Barn,Jl. Dayang Sumbi No. 2,"-6.886791215348411, 107.61275164783568"
Warunk Upnormal Sumur Bandung,Jl. Sumur Bandung No. 20,"-6.885353270435555, 107.6130735129147"
Northwood Coffee & Eatery,Jl. Gegerkalong Hilir No. 179,"-6.8676990666394175, 107.58010756256542"
Northwood Coffee & Eatery,Jl. Dr. Setiabudi No.56,"-6.881496769122679, 107.59993597976238"
Common Grounds,Jl. Dr. Setiabudi No.49,"-6.880175966964916, 107.59866803885082"
Terminal Coffee,Jl. Makmur No.2,"-6.8951391982707335, 107.6011779159363"
Four C'S Cafe & Resto,Jl. Ciwastra No.124,"-6.958045903662458, 107.65764983558195"
Rumah Kopi Coffee.Inc,Jl. Kencanawangi No.15,"-6.959406405504328, 107.65438355505785"
Total Kedai Kopi,Jl. Marga Asri No.7,"-6.95659818096932, 107.65324629843796"
Kozi Coffee Dipatiukur,Jl. Dipati Ukur No.1,"-6.897963574177905, 107.61335296441804"
