Jenis Usaha,Nama,Alamat,Titik Koordinat
Outlet,Mikhayla Kids Factory Outlet Batusangkar,Jl. Soekarno Hatta No. 2,"-6.934082496732506, 107.71877241786453"
Outlet,Baruni Batik Gallery,Jl. Buah Batu No.87,"-6.933772489803377, 107.6206051128925"
Outlet,Cuci Gudang Barang Branded,Jl. Taman Kopo Indah I,"-6.966701958020234, 107.57331939325357"
Outlet,Fojba Factor Outlet,Jl. Terusan Kopo,"-7.007884620293743, 107.55094654543055"
Outlet,Julien Big Size,Jl. Veteran No. 17-B,"-6.917855446526907, 107.61489750674073"
Outlet,The Sports Warehouse,Jl. Braga No. 91,"-6.916662612507113, 107.6091038656638"
Outlet,Brand Revolution,Jl. Ir. H. Juanda,"-6.891286723690143, 107.61358912879248"
Outlet,Boom Stock,Jl. Cihampelas No. 144,"-6.894536944826362, 107.60403503222562"
Outlet,Bandung Original Merchandise,Jl. Cihamples No. 210,"-6.889212373123292, 107.60439439658299"
Outlet,Persib Merchandise Store,Jl. Sulanjana No. 17,"-6.8981591543338645, 107.61005918538048"
Outlet,Elmeira Hijab,Jl. Progo No. 3,"-6.90249620083983, 107.61705736316036"
Outlet,Toko Tiga,Jl. Jend. Ahmad Yani,"-6.91954844923399, 107.62110800602044"
Outlet,Twig House,Jl. Sukajadi No. 127,"-6.889809921568851, 107.59668819521805"
Outlet,Outlet@251 - S.Oliver,Jl. Raya Pajajaran No. 27,"-6.570326471881416, 106.80866969848154"
Outlet,Toko Sepatu Bata,Jl. Raya Bojongsoang No. 67,"-6.980270511895414, 107.63344458073257"
Outlet,Toko Tas Elizabeth Otista,Jl. Otto Iskandar Dinata No. 520,"-6.930504903131708, 107.60327406536369"
Outlet,Universal Footwear,Jl. Cikoneng No. 46,"-6.983099913512733, 107.64128579399383"
Outlet,Siliwangi,Jl. Jend. Ahmad Yani 203,"-6.918466165064204, 107.624137627217"
Outlet,Nirwana Fabric Outlet,Jl. Hasanudin No. 9,"-6.890690522974218, 107.61630191739343"
Outlet,C59,Jl. Merak No.2,"-6.8972646996027684, 107.62038944317689"
Outlet,Third Day Co,Jl. Cihampelas No. 140,"-6.894473926345713, 107.60398860542506"
Outlet,K2 Busana,Jl. Dewi Sartika No. 69,"-6.923048631574014, 107.6055812320262"
Outlet,Widely Project,Jl. L. L. R. E. Martadinata No. 107,"-6.9042290214011315, 107.62179519715473"
Outlet,Rumah Baju Fashion Outlet,Jl. Purwakarta No. 146,"-6.914314342256234, 107.65666443816652"
Outlet,Kenari Fabric Outlet,Jl. Kenari No. 14,"-6.909063594617352, 107.61140760578861"
Outlet,Factory Outlet Hilton,Jl. Terusan Kopo Km. 11 No. 76,"-6.979701495649215, 107.56012411140924"
Outlet,Barcelona Sport,Jl. Jend Ahmad Yani No. 69,"-6.920599434461862, 107.62008805470039"
Outlet,Grutty Sepatu,Jl. Cibaduyut Raya No. 66,"-6.95074969533578, 107.59352499888867"
Outlet,Toko Diana ,Jl. Cibaduyut Raya No. 134,"-6.955282248460807, 107.59300588875082"
Outlet,Batik Unggul Jaya,Jl. Veteran No. 42,"-6.918646982122094, 107.615397375414"
Outlet,Toko Seira,Jl. Baranang Siang No. 75,"-6.917837496520026, 107.61865891144464"
Outlet,Symphonic/Crunc/Unfolds/Store,Jl. Dewi Sartika No.7A,"-6.922618112056233, 107.60628267718364"
Outlet,Planet Fashion,Jl. Dewi Sartika No. 15,"-6.923470159127791, 107.60642215157381"
Outlet,Myv Fashion,Jl. Kosar No. Kav 9,"-6.901139390689338, 107.69139878038219"
Outlet,Maryjane Store,Jl. Sultan Tirtayasa No.15,"-6.901828702482074, 107.61406120499139"
Outlet,Dauky Fashion Hijab Pasteur,Jl. Sukaraja Istana Pastteur Regency Cra49,"-6.890443329897997, 107.57501695629665"
Outlet,Trivium Cloth,Jl. Lengkong Besar No. 81B,"-6.924931041717792, 107.61253150162418"
Outlet,Ouval Research Buah Batu,Jl. Buah Batu No. 64,"-6.932529481273305, 107.6188677939952"
Outlet,Toko Isna Fajar,Jl. Otto Iskandar Dinata No. 177,"-6.919815344306286, 107.6042845743056"
Outlet,Bajuku Bandung,Jl. Cipamukolan No. 58,"-6.941638480489701, 107.67690030227584"
Outlet,Toko Prabu,Jl. Jenderal Ahmad Yanino. 124,"-6.91983621620014, 107.62114001206453"
Outlet,Kaos Polos Bandung / Cemara Clothing,Jl. Cemara No. 63,"-6.8834396127792585, 107.59844359504659"
Outlet,Gildan Bandung,Jl. Tm. Cibeunyin Sel,"-6.907920493493678, 107.6267507288954"
